city;type
Новосибирск;Миллионник
Екатеринбург;Миллионник
Казань;Миллионник
Нижний Новгород;Миллионник
Челябинск;Миллионник
Самара;Миллионник
Уфа;Миллионник
Ростов-на-Дону;Миллионник
Омск;Миллионник
Красноярск;Миллионник
Воронеж;Миллионник
Пермь;Миллионник
Волгоград;Миллионник
Москва;Москва
Санкт-Петербург;Санкт-Петербург
